INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Kimberly808', 'CKimberly337!','Kimberly', 'Caldwell', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-06-18', 'kimberlyc232@gmail.com','My name is Kimberly, I am 227lbs at 6 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Rena71', 'ARena961&','Rena', 'Almanzar', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2019-07-27', 'renaa488@gmail.com','My name is Rena, I am 191lbs at 5 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('joseph182', 'MJoseph529!','Joseph', 'Miller', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2017-04-27', 'josephm500@gmail.com','My name is Joseph, I weigh 126lbs at 5 foot 2 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Samuel200', 'SSamuel700&','Samuel', 'Salinas', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-06-02', 'samuels52@gmail.com','My name is Samuel, I am 152lbs at 6 foot 5 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('bill595', 'HBill289@','Bill', 'Hays', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-03-16', 'billh87@gmail.com','My name is Bill, I weigh 264lbs at 5 foot 11 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Mary602', 'VMary716#','Mary', 'Varghese', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-07-18', 'maryv146@gmail.com','My name is Mary, I am 209lbs at 5 foot 5 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('heike10', 'CHeike912#','Heike', 'Conway', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2018-07-14', 'heikec166@gmail.com','My name is Heike, I weigh 132lbs at 5 foot 10 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Frank840', 'CFrank172#','Frank', 'Cutting', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2015-08-05', 'frankc111@gmail.com','My name is Frank, I am 259lbs at 5 foot 10 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('shelly600', 'SShelly759#','Shelly', 'Sagedahl', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2016-10-31', 'shellys130@gmail.com','My name is Shelly, I weigh 240lbs at 5 foot 7 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Whitney473', 'PWhitney208$','Whitney', 'Pinera', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2012-04-08', 'whitneyp421@gmail.com','My name is Whitney, I am 261lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('stacy172', 'KStacy346@','Stacy', 'Keske', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2021-11-02', 'stacyk125@gmail.com','My name is Stacy, I weigh 199lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Jacqueline875', 'CJacqueline5#','Jacqueline', 'Castleberry', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-01-21', 'jacquelinec391@gmail.com','My name is Jacqueline, I am 263lbs at 5 foot 3 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('zachary731', 'CZachary972&','Zachary', 'Chavez', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-03-26', 'zacharyc353@gmail.com','My name is Zachary, I weigh 143lbs at 5 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Anita914', 'SAnita857&','Anita', 'Smith', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2016-03-14', 'anitas227@gmail.com','My name is Anita, I am 118lbs at 6 foot 7 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('basil47', 'GBasil80#','Basil', 'Green', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-06-24', 'basilg6@gmail.com','My name is Basil, I weigh 260lbs at 5 foot 3 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Elizabeth360', 'WElizabeth921$','Elizabeth', 'Washington', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2019-09-27', 'elizabethw494@gmail.com','My name is Elizabeth, I am 117lbs at 5 foot 4 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('victoria503', 'WVictoria354$','Victoria', 'Walker', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2017-02-07', 'victoriaw455@gmail.com','My name is Victoria, I weigh 170lbs at 5 foot 2 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Pamela898', 'HPamela281@','Pamela', 'Hill', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2016-01-08', 'pamelah345@gmail.com','My name is Pamela, I am 189lbs at 5 foot 4 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('brandi131', 'HBrandi203&','Brandi', 'Hyman', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-07-29', 'brandih85@gmail.com','My name is Brandi, I weigh 242lbs at 5 foot 7 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Madeline291', 'DMadeline45$','Madeline', 'Durant', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2014-10-12', 'madelined147@gmail.com','My name is Madeline, I am 247lbs at 5 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('alejandrina53', 'LAlejandrina172$','Alejandrina', 'Lemen', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2021-09-09', 'alejandrinal111@gmail.com','My name is Alejandrina, I weigh 193lbs at 5 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Garfield776', 'MGarfield642@','Garfield', 'Meczywor', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2012-05-04', 'garfieldm143@gmail.com','My name is Garfield, I am 186lbs at 5 foot 4 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('david655', 'CDavid219$','David', 'Cason', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-01-12', 'davidc419@gmail.com','My name is David, I weigh 243lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Cynthia542', 'PCynthia350!','Cynthia', 'Peavler', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2016-05-10', 'cynthiap433@gmail.com','My name is Cynthia, I am 193lbs at 6 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('dorothy662', 'PDorothy63#','Dorothy', 'Panetta', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2020-11-28', 'dorothyp94@gmail.com','My name is Dorothy, I weigh 239lbs at 5 foot 11 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Scott382', 'TScott747#','Scott', 'Theodore', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2020-10-05', 'scottt203@gmail.com','My name is Scott, I am 195lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('joseph241', 'RJoseph450!','Joseph', 'Rodriguez', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2012-08-31', 'josephr23@gmail.com','My name is Joseph, I weigh 145lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Tammy194', 'JTammy764&','Tammy', 'Johnson', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2012-12-26', 'tammyj538@gmail.com','My name is Tammy, I am 121lbs at 5 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('donald841', 'KDonald590$','Donald', 'Kanemoto', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2015-09-16', 'donaldk228@gmail.com','My name is Donald, I weigh 203lbs at 5 foot 5 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Christopher145', 'OChristopher141&','Christopher', 'Orton', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2014-09-25', 'christophero78@gmail.com','My name is Christopher, I am 200lbs at 5 foot 5 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('valerie970', 'GValerie910@','Valerie', 'Givens', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-11-26', 'valerieg55@gmail.com','My name is Valerie, I weigh 276lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Maria77', 'SMaria341&','Maria', 'Smith', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2015-05-11', 'marias248@gmail.com','My name is Maria, I am 279lbs at 5 foot 2 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('bill696', 'SBill119$','Bill', 'Snyder', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2016-09-05', 'bills7@gmail.com','My name is Bill, I weigh 187lbs at 5 foot 2 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Matt377', 'LMatt379@','Matt', 'Larson', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-01-17', 'mattl58@gmail.com','My name is Matt, I am 195lbs at 6 foot 3 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('scott889', 'LScott23@','Scott', 'Landers', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2016-06-18', 'scottl478@gmail.com','My name is Scott, I weigh 120lbs at 5 foot 5 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Patricia713', 'BPatricia644#','Patricia', 'Burns', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2012-10-17', 'patriciab120@gmail.com','My name is Patricia, I am 125lbs at 5 foot 11 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('christy504', 'SChristy654&','Christy', 'Schiffelbein', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2019-12-10', 'christys425@gmail.com','My name is Christy, I weigh 197lbs at 5 foot 2 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Karla561', 'SKarla864#','Karla', 'Sardin', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2017-08-12', 'karlas445@gmail.com','My name is Karla, I am 153lbs at 5 foot 9 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('donna146', 'BDonna337#','Donna', 'Beaty', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-04-02', 'donnab492@gmail.com','My name is Donna, I weigh 245lbs at 5 foot 3 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Roberta798', 'RRoberta527@','Roberta', 'Roessler', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2014-10-27', 'robertar472@gmail.com','My name is Roberta, I am 176lbs at 5 foot 7 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('timothy375', 'LTimothy23!','Timothy', 'Lee', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2013-03-05', 'timothyl513@gmail.com','My name is Timothy, I weigh 235lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Frank671', 'WFrank885!','Frank', 'Wolf', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2015-05-19', 'frankw249@gmail.com','My name is Frank, I am 125lbs at 5 foot 6 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('pablo435', 'SPablo126!','Pablo', 'Shields', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2017-02-12', 'pablos329@gmail.com','My name is Pablo, I weigh 189lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Gloria756', 'BGloria236!','Gloria', 'Barnhart', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2014-08-03', 'gloriab520@gmail.com','My name is Gloria, I am 212lbs at 6 foot 3 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('mildred689', 'BMildred216@','Mildred', 'Barth', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2021-06-25', 'mildredb86@gmail.com','My name is Mildred, I weigh 121lbs at 5 foot 3 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Teresa614', 'BTeresa432@','Teresa', 'Baker', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2012-02-19', 'teresab53@gmail.com','My name is Teresa, I am 270lbs at 5 foot 9 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('willie241', 'MWillie209@','Willie', 'Martin', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2019-10-22', 'williem312@gmail.com','My name is Willie, I weigh 212lbs at 5 foot 9 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Clinton2', 'DClinton5@','Clinton', 'Dustin', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2021-11-23', 'clintond395@gmail.com','My name is Clinton, I am 165lbs at 5 foot 8 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('maria80', 'RMaria927@','Maria', 'Russell', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2016-12-27', 'mariar467@gmail.com','My name is Maria, I weigh 123lbs at 5 foot 2 and I love Gym Notebook!');
INSERT INTO Users(username, userPassword, firstName, lastName, imagePath, DoB, email, profileBio) VALUES ('Thomas466', 'HThomas996#','Thomas', 'Hester', 'https://firebasestorage.googleapis.com/v0/b/gymapp-470.appspot.com/o/ronnie?alt=media&token=a90347c4-0489-4879-b629-688935624fff', '2016-09-03', 'thomash359@gmail.com','My name is Thomas, I am 199lbs at 5 foot 7 and I love Gym Notebook!');
